Time	Vin
0.02152	0.598594
0.02152	0.599219
0.02152	0.598438
0.02153	0.600625
0.02153	0.601719
0.02154	0.602031
0.02154	0.602656
0.02154	0.602969
0.02155	0.600469
0.02155	0.601406
0.02156	0.60125
0.02156	0.602969
0.02156	0.603438
0.02157	0.603438
0.02157	0.603281
0.02158	0.602031
0.02158	0.601719
0.02158	0.602969
0.02159	0.604688
0.02159	0.60625
0.0216	0.606094
0.0216	0.607344
0.0216	0.609531
0.02161	0.610313
0.02161	0.609844
0.02162	0.610625
0.02162	0.609844
0.02162	0.60875
0.02163	0.610156
0.02163	0.610156
0.02164	0.611406
0.02164	0.610625
0.02164	0.612188
0.02165	0.611875
0.02165	0.612344
0.02166	0.610625
0.02166	0.612188
0.02166	0.612344
0.02167	0.612344
0.02167	0.614219
0.02168	0.614844
0.02168	0.617656
0.02168	0.616875
0.02169	0.617969
0.02169	0.619531
0.0217	0.618438
0.0217	0.618438
0.0217	0.618281
0.02171	0.618438
0.02171	0.619688
0.02172	0.6225
0.02172	0.622344
0.02172	0.622344
0.02173	0.620313
0.02173	0.621563
0.02174	0.620938
0.02174	0.622344
0.02174	0.622969
0.02175	0.626406
0.02175	0.626875
0.02176	0.625313
0.02176	0.625
0.02176	0.623281
0.02177	0.622031
0.02177	0.624063
0.02178	0.626563
0.02178	0.627656
0.02178	0.626875
0.02179	0.626875
0.02179	0.627813
0.0218	0.627656
0.0218	0.630469
0.0218	0.631719
0.02181	0.629844
0.02181	0.628594
0.02182	0.629844
0.02182	0.629375
0.02182	0.629375
0.02183	0.628906
0.02183	0.632656
0.02184	0.631406
0.02184	0.6325
0.02184	0.6325
0.02185	0.634531
0.02185	0.635469
0.02186	0.63625
0.02186	0.634531
0.02186	0.635938
0.02187	0.637188
0.02187	0.637031
0.02188	0.63875
0.02188	0.639531
0.02188	0.6375
0.02189	0.639219
0.02189	0.640781
0.0219	0.64125
0.0219	0.643125
0.0219	0.644063
0.02191	0.643906
0.02191	0.644375
0.02192	0.647344
0.02192	0.647344
0.02192	0.646094
0.02193	0.645938
0.02193	0.647188
0.02194	0.647656
0.02194	0.647344
0.02194	0.649375
0.02195	0.647344
0.02195	0.647656
0.02196	0.64875
0.02196	0.649219
0.02196	0.649375
0.02197	0.649219
0.02197	0.647344
0.02198	0.649375
0.02198	0.648906
0.02198	0.649219
0.02199	0.651719
0.02199	0.654531
0.022	0.654219
0.022	0.656094
0.022	0.655313
0.02201	0.654531
0.02201	0.655
0.02202	0.656563
0.02202	0.656094
0.02202	0.6575
0.02203	0.658906
0.02203	0.661875
0.02204	0.660625
0.02204	0.659844
0.02204	0.661094
0.02205	0.659375
0.02205	0.660313
0.02206	0.664219
0.02206	0.663125
0.02206	0.662188
0.02207	0.662656
0.02207	0.661875
0.02208	0.663594
0.02208	0.660313
0.02208	0.660938
0.02209	0.662656
0.02209	0.663438
0.0221	0.661563
0.0221	0.663594
0.0221	0.664219
0.02211	0.664375
0.02211	0.664688
0.02212	0.665156
0.02212	0.666719
0.02212	0.667031
0.02213	0.666406
0.02213	0.667969
0.02214	0.6675
0.02214	0.668281
0.02214	0.666719
0.02215	0.666406
0.02215	0.665938
0.02216	0.66625
0.02216	0.667188
0.02216	0.66875
0.02217	0.669063
0.02217	0.67
0.02218	0.671563
0.02218	0.672813
0.02218	0.673125
0.02219	0.672344
0.02219	0.673125
0.0222	0.674063
0.0222	0.675781
0.0222	0.676563
0.02221	0.676094
0.02221	0.677344
0.02222	0.677813
0.02222	0.677813
0.02222	0.680469
0.02223	0.68125
0.02223	0.681875
0.02224	0.682188
0.02224	0.680938
0.02224	0.68125
0.02225	0.681719
0.02225	0.682969
0.02226	0.681875
0.02226	0.681719
0.02226	0.683906
0.02227	0.685781
0.02227	0.685938
0.02228	0.6875
0.02228	0.6875
0.02228	0.686719
0.02229	0.689375
0.02229	0.691094
0.0223	0.691094
0.0223	0.69
0.0223	0.68875
0.02231	0.688281
0.02231	0.687969
0.02232	0.68875
0.02232	0.689844
0.02232	0.693125
0.02233	0.693125
0.02233	0.692031
0.02234	0.690313
0.02234	0.692344
0.02234	0.692031
0.02235	0.691406
0.02235	0.691563
0.02236	0.690313
0.02236	0.692813
0.02236	0.693438
0.02237	0.693906
0.02237	0.694688
0.02238	0.694844
0.02238	0.697188
0.02238	0.696406
0.02239	0.696406
0.02239	0.697188
0.0224	0.697656
0.0224	0.695469
0.0224	0.697188
0.02241	0.697656
0.02241	0.697656
0.02242	0.696719
0.02242	0.698125
0.02242	0.698906
0.02243	0.700469
0.02243	0.702188
0.02244	0.701719
0.02244	0.70375
0.02244	0.70375
0.02245	0.701563
0.02245	0.702031
0.02246	0.702188
0.02246	0.702813
0.02246	0.702031
0.02247	0.705781
0.02247	0.706094
0.02248	0.706563
0.02248	0.708594
0.02248	0.709844
0.02249	0.709688
0.02249	0.711406
0.0225	0.711094
0.0225	0.709844
0.0225	0.710938
0.02251	0.711094
0.02251	0.710313
0.02252	0.712188
0.02252	0.711094
0.02252	0.713125
0.02253	0.714688
0.02253	0.714375
0.02254	0.713125
0.02254	0.715
0.02254	0.714375
0.02255	0.715469
0.02255	0.715781
0.02256	0.715
0.02256	0.71625
0.02256	0.717031
0.02257	0.715469
